train_file,test_file,version,num_train_seqs,num_test_seqs,train_extract_time_s,test_extract_time_s,total_train_time_s,run_type,model_id_or_k,prediction_time_s,accuracy,precision_macro,recall_macro,f1_macro
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,17,4.0834,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,18,4.0779,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,19,4.071,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,20,4.0758,0.9998,0.9998,0.9998,0.9998
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,21,4.0696,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,22,4.0784,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,23,4.0735,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,individual,24,4.0711,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,1,4.1517,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,2,4.6244,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,3,5.0921,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,4,5.5606,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,5,6.0279,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,6,6.4848,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,7,6.9512,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,8,7.4173,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,9,7.8847,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,10,8.3355,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,11,8.7887,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,12,9.2494,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,13,9.7114,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,14,10.1729,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,15,10.6273,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,16,11.0913,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,17,11.5527,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,18,12.02,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,19,12.4817,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,20,12.9366,0.9996,0.9996,0.9996,0.9996
